AttributeID,value,units
1,Afghanistan,NULL
1,Aland Islands,NULL
1,Albania,NULL
1,Algeria,NULL
1,American Samoa,NULL
1,Andorra,NULL
1,Angola,NULL
1,Anguilla,NULL
1,Antarctica,NULL
1,Antigua And Barbuda,NULL
1,Argentina,NULL
1,Armenia,NULL
1,Aruba,NULL
1,Australia,NULL
1,Austria,NULL
1,Azerbaijan,NULL
1,Bahamas,NULL
1,Bahrain,NULL
1,Bangladesh,NULL
1,Barbados,NULL
1,Belarus,NULL
1,Belgium,NULL
1,Belize,NULL
1,Benin,NULL
1,Bermuda,NULL
1,Bhutan,NULL
1,Bolivia,NULL
1,Bosnia and Herzegovina,NULL
1,Botswana,NULL
1,Bouvet Island,NULL
1,Brazil,NULL
1,British Indian Ocean Territory,NULL
1,British Virgin Islands,NULL
1,Brunei,NULL
1,Bulgaria,NULL
1,Burkina Faso,NULL
1,Burma (Myanmar),NULL
1,Burundi,NULL
1,Cambodia,NULL
1,Cameroon,NULL
1,Canada,NULL
1,Canary Islands,NULL
1,Cape Verde,NULL
1,Cayman Islands,NULL
1,Central African Republic,NULL
1,Chad,NULL
1,Chile,NULL
1,China,NULL
1,Christmas Island,NULL
1,Cocos (Keeling) Islands,NULL
1,Colombia,NULL
1,Comoros,NULL
1,Cook Islands,NULL
1,Costa Rica,NULL
1,Croatia,NULL
1,Cuba,NULL
1,Cyprus,NULL
1,Czech Republic,NULL
1,Democratic Republic of the Congo,NULL
1,Denmark,NULL
1,Djibouti,NULL
1,Dominica,NULL
1,Dominican Republic,NULL
1,Ecuador,NULL
1,Egypt,NULL
1,El Salvador,NULL
1,Equatorial Guinea,NULL
1,Eritrea,NULL
1,Estonia,NULL
1,Ethiopia,NULL
1,Falkland Islands,NULL
1,Faroe Islands,NULL
1,Fiji,NULL
1,Finland,NULL
1,France,NULL
1,French Guiana,NULL
1,French Polynesia,NULL
1,French Southern Territories,NULL
1,Gabon,NULL
1,Gambia,NULL
1,Georgia,NULL
1,Germany,NULL
1,Ghana,NULL
1,Gibraltar,NULL
1,Greece,NULL
1,Greenland,NULL
1,Grenada,NULL
1,Guadeloupe,NULL
1,Guam,NULL
1,Guatemala,NULL
1,Guernsey,NULL
1,Guinea,NULL
1,Guinea-Bissau,NULL
1,Guyana,NULL
1,Haiti,NULL
1,Heard and McDonald Islands,NULL
1,Holy See (Vatican City),NULL
1,Honduras,NULL
1,Hong Kong,NULL
1,Hungary,NULL
1,Iceland,NULL
1,India,NULL
1,Indonesia,NULL
1,Iran,NULL
1,Iraq,NULL
1,Ireland,NULL
1,Isle of Man,NULL
1,Israel,NULL
1,Italy,NULL
1,Ivory Coast,NULL
1,Jamaica,NULL
1,Japan,NULL
1,Jersey,NULL
1,Jordan,NULL
1,Kazakhstan,NULL
1,Kenya,NULL
1,Kiribati,NULL
1,Kuwait,NULL
1,Kyrgyzstan,NULL
1,Laos,NULL
1,Latvia,NULL
1,Lebanon,NULL
1,Lesotho,NULL
1,Liberia,NULL
1,Libya,NULL
1,Liechtenstein,NULL
1,Lithuania,NULL
1,Luxembourg,NULL
1,Macau,NULL
1,Macedonia,NULL
1,Madagascar,NULL
1,Malawi,NULL
1,Malaysia,NULL
1,Maldives,NULL
1,Mali,NULL
1,Malta,NULL
1,Marshall Islands,NULL
1,Martinique,NULL
1,Mauritania,NULL
1,Mauritius,NULL
1,Mayotte,NULL
1,Mexico,NULL
1,Micronesia,NULL
1,Moldova,NULL
1,Monaco,NULL
1,Mongolia,NULL
1,Montserrat,NULL
1,Morocco,NULL
1,Mozambique,NULL
1,Namibia,NULL
1,Nauru,NULL
1,Nepal,NULL
1,Netherlands,NULL
1,Netherlands Antilles,NULL
1,New Caledonia,NULL
1,New Zealand,NULL
1,Nicaragua,NULL
1,Niger,NULL
1,Nigeria,NULL
1,Niue,NULL
1,Norfolk Island,NULL
1,North Korea,NULL
1,Northern Mariana Islands,NULL
1,Norway,NULL
1,Oman,NULL
1,Pakistan,NULL
1,Palau,NULL
1,Palestinian Territory,NULL
1,Panama,NULL
1,Papua New Guinea,NULL
1,Paraguay,NULL
