CategoryID,AttributeID,description,display_name,free_text,variant
9000049,1,Country of Origin,Country Of Origin,No,No
9000050,1,Country of Origin,Country Of Origin,No,No
9000051,1,Country of Origin,Country Of Origin,No,No
9000052,1,Country of Origin,Country Of Origin,No,No
9000053,1,Country of Origin,Country Of Origin,No,No
9000054,1,Country of Origin,Country Of Origin,No,No
9000055,1,Country of Origin,Country Of Origin,No,No
9000056,1,Country of Origin,Country Of Origin,No,No
9000057,1,Country of Origin,Country Of Origin,No,No
9000058,1,Country of Origin,Country Of Origin,No,No
9000059,1,Country of Origin,Country Of Origin,No,No
9000060,1,Country of Origin,Country Of Origin,No,No
9000061,1,Country of Origin,Country Of Origin,No,No
9000062,1,Country of Origin,Country Of Origin,No,No
9000063,1,Country of Origin,Country Of Origin,No,No
9000064,1,Country of Origin,Country Of Origin,No,No
9000065,1,Country of Origin,Country Of Origin,No,No
9000066,1,Country of Origin,Country Of Origin,No,No
9000067,1,Country of Origin,Country Of Origin,No,No
9000068,1,Country of Origin,Country Of Origin,No,No
9000069,1,Country of Origin,Country Of Origin,No,No
9000070,1,Country of Origin,Country Of Origin,No,No
9000071,1,Country of Origin,Country Of Origin,No,No
9000073,1,Country of Origin,Country Of Origin,No,No
9000074,1,Country of Origin,Country Of Origin,No,No
9000075,1,Country of Origin,Country Of Origin,No,No
9000077,1,Country of Origin,Country Of Origin,No,No
9000078,1,Country of Origin,Country Of Origin,No,No
9000079,1,Country of Origin,Country Of Origin,No,No
9000080,1,Country of Origin,Country Of Origin,No,No
9000081,1,Country of Origin,Country Of Origin,No,No
9000082,1,Country of Origin,Country Of Origin,No,No
9000083,1,Country of Origin,Country Of Origin,No,No
9000084,1,Country of Origin,Country Of Origin,No,No
9000085,1,Country of Origin,Country Of Origin,No,No
9000086,1,Country of Origin,Country Of Origin,No,No
9000087,1,Country of Origin,Country Of Origin,No,No
9000088,1,Country of Origin,Country Of Origin,No,No
9000089,1,Country of Origin,Country Of Origin,No,No
9000090,1,Country of Origin,Country Of Origin,No,No
9000091,1,Country of Origin,Country Of Origin,No,No
9000092,1,Country of Origin,Country Of Origin,No,No
9000093,1,Country of Origin,Country Of Origin,No,No
9000094,1,Country of Origin,Country Of Origin,No,No
9000095,1,Country of Origin,Country Of Origin,No,No
9000096,1,Country of Origin,Country Of Origin,No,No
9000097,1,Country of Origin,Country Of Origin,No,No
9000098,1,Country of Origin,Country Of Origin,No,No
9000099,1,Country of Origin,Country Of Origin,No,No
9000100,1,Country of Origin,Country Of Origin,No,No
9000101,1,Country of Origin,Country Of Origin,No,No
9000102,1,Country of Origin,Country Of Origin,No,No
9000103,1,Country of Origin,Country Of Origin,No,No
9000104,1,Country of Origin,Country Of Origin,No,No
9000105,1,Country of Origin,Country Of Origin,No,No
9000106,1,Country of Origin,Country Of Origin,No,No
9000107,1,Country of Origin,Country Of Origin,No,No
9000108,1,Country of Origin,Country Of Origin,No,No
9000109,1,Country of Origin,Country Of Origin,No,No
9000110,1,Country of Origin,Country Of Origin,No,No
9000112,1,Country of Origin,Country Of Origin,No,No
9000113,1,Country of Origin,Country Of Origin,No,No
9000114,1,Country of Origin,Country Of Origin,No,No
9000115,1,Country of Origin,Country Of Origin,No,No
9000116,1,Country of Origin,Country Of Origin,No,No
9000117,1,Country of Origin,Country Of Origin,No,No
9000119,1,Country of Origin,Country Of Origin,No,No
9000120,1,Country of Origin,Country Of Origin,No,No
